periodo,IGAE (índice),Var. mensual desest. (%),Var. anual original (%),Act. primarias (índice),Var. anual act. primarias (%),Act. secundarias (índice),Var. anual act. secundarias (%),Act. terciarias (índice),Var. anual act. terciarias (%)
Mar 08,80.733071,,-0.036946,66.348517,-0.056354,91.023738,-0.054893,75.688953,-0.023296
Abr 08,86.804124,,0.059,77.379843,0.050545,96.102161,0.039902,82.047512,0.072559
May 08,85.475305,,-0.001854,91.372118,0.059115,93.17699,-0.01219,80.771917,0.001378
Jun 08,85.47721,,0.005757,95.055842,-0.023055,93.026629,-0.001075,80.655193,0.012252
Jul 08,85.630971,,0.02821,90.394399,0.067335,93.613235,0.00213,80.831347,0.043695
Ago 08,83.082534,,-0.014161,61.858347,-0.103093,92.530755,-0.022825,78.898008,-0.003965
Sep 08,84.120379,,0.01025,57.816347,-0.045021,93.307366,-0.016129,80.367253,0.030868
Oct 08,86.631649,,0.000435,78.227051,0.018743,96.127755,-0.012373,81.705718,0.008207
Nov 08,82.903975,,-0.022186,101.098076,-0.051361,87.991933,-0.035817,79.000182,-0.011173
Dic 08,83.155773,,-0.004728,103.044141,0.147409,87.713901,-0.030628,79.458554,0.002464
Ene 09,76.019281,,-0.078304,86.909368,-0.012387,82.688842,-0.096971,71.623996,-0.069892
Feb 09,73.650563,,-0.093161,69.852838,-0.079629,79.792167,-0.131778,70.373466,-0.067198
Mar 09,78.41848,,-0.02867,69.072562,0.041057,84.709615,-0.069368,75.365543,-0.004273
Abr 09,76.25685,,-0.121507,79.097808,0.022202,83.455621,-0.131595,72.009385,-0.122345
May 09,76.803582,,-0.101453,85.142162,-0.068182,82.54796,-0.114074,73.075987,-0.09528
Jun 09,79.089879,,-0.074726,93.811789,-0.013088,82.617991,-0.111889,76.265583,-0.054424
Jul 09,80.181038,,-0.063644,83.663976,-0.074456,86.512148,-0.075856,76.390674,-0.054938
Ago 09,78.071588,,-0.060313,62.648173,0.012768,84.837878,-0.083139,75.087334,-0.048299
Sep 09,80.063889,,-0.048222,58.97353,0.020015,87.490426,-0.062342,77.020306,-0.041646
Oct 09,82.344495,,-0.049487,71.753009,-0.08276,89.964511,-0.064115,78.606094,-0.037936
Nov 09,82.196433,,-0.008534,98.64623,-0.024252,86.444391,-0.017587,78.866972,-0.001686
Dic 09,83.291762,,0.001635,98.581987,-0.043303,87.310018,-0.004605,80.157384,0.008795
Ene 10,77.817792,,0.023659,78.358912,-0.098384,85.26727,0.031182,73.556043,0.026975
Feb 10,77.042084,,0.046049,74.848798,0.071521,83.108987,0.041568,73.718032,0.047526
Mar 10,83.847591,,0.069233,67.694859,-0.019946,90.957298,0.073754,80.708894,0.070899
Abr 10,82.217904,,0.078171,84.177666,0.064222,89.385943,0.07106,78.036989,0.083706
May 10,82.731905,,0.077188,93.927245,0.103181,88.350216,0.07029,78.916765,0.079927
Jun 10,84.096844,,0.063307,95.324306,0.016123,89.174367,0.079358,80.587103,0.056664
Jul 10,83.780238,,0.044888,88.868066,0.062202,90.327576,0.044103,79.777635,0.044337
Ago 10,82.859897,,0.061332,65.733078,0.049242,89.871525,0.059333,79.831182,0.063178
Sep 10,83.531292,,0.043308,65.647687,0.113172,90.231081,0.031325,80.721876,0.04806
Oct 10,84.516498,,0.026377,73.613893,0.025935,91.611439,0.018306,81.093694,0.031646
Nov 10,86.268243,,0.049538,101.659619,0.030547,88.716903,0.026289,84.019823,0.065336
Dic 10,86.361909,,0.03686,93.547835,-0.051066,89.238568,0.022089,84.327509,0.052024
Ene 11,81.05954,,0.041658,79.408239,0.013391,86.76978,0.017621,77.907893,0.059164
Feb 11,80.115615,,0.039894,70.907183,-0.052661,85.142158,0.024464,77.773358,0.055011
Mar 11,87.173674,,0.039668,73.788636,0.090018,92.861741,0.020938,84.688332,0.049306
Abr 11,82.95717,,0.008992,74.688351,-0.11273,89.345867,-0.000448,79.788808,0.022449
May 11,86.038632,,0.039969,84.999197,-0.095053,90.934982,0.029256,83.315218,0.055735
Jun 11,86.875163,,0.033037,81.449653,-0.145552,92.379823,0.035946,84.050562,0.042978
Jul 11,86.13094,,0.028058,86.846025,-0.022753,92.788304,0.027242,82.309452,0.031736
Ago 11,87.289966,,0.053465,69.141856,0.051858,93.505297,0.040433,84.770476,0.061872
Sep 11,86.729545,,0.038288,63.564332,-0.031735,92.646253,0.026767,84.659199,0.048776
Oct 11,87.547271,,0.03586,73.621625,0.000105,95.45191,0.041921,83.832946,0.033779
Nov 11,90.78646,,0.052374,100.817287,-0.008286,94.534483,0.065575,88.098596,0.048545
Dic 11,89.206822,,0.032942,98.930387,0.057538,93.422976,0.04689,86.27016,0.023037
Ene 12,85.357613,,0.053024,80.477268,0.013462,91.191218,0.050956,82.315786,0.056578
Feb 12,85.296765,,0.064671,75.662667,0.067066,91.713077,0.077176,82.188778,0.056773
Mar 12,90.120111,,0.0338,75.991522,0.029854,96.982515,0.044375,87.009123,0.027404
Abr 12,86.670871,,0.044766,80.497307,0.077776,93.291936,0.044166,83.253784,0.043427
May 12,90.125978,,0.047506,89.433392,0.052167,96.232071,0.058251,86.696058,0.040579
Jun 12,89.788374,,0.033533,101.75673,0.249321,95.500487,0.033781,85.876885,0.021729
Jul 12,89.914964,,0.043933,89.98174,0.036107,97.436093,0.05009,85.638942,0.040451
Ago 12,89.448409,,0.024727,71.178942,0.029462,96.319466,0.030096,86.563203,0.021148
