periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
May 99,80.629197,,,79.940046,,0.01563,124.391003,38.417529,78.46799,76.845134,,,,,,,,
Jun 99,80.275939,,,78.029514,,0.015627,120.758534,38.550177,79.609172,76.601479,,,,,,,,
Jul 99,80.442749,,,81.208532,,0.016234,123.297803,39.084586,77.536716,77.508422,,,,,,,,
Ago 99,80.682549,,,82.452877,,0.016201,122.18369,38.821051,76.973172,77.642774,,,,,,,,
Sep 99,81.566607,,,84.650287,,0.018325,122.468937,39.373811,77.539784,78.700221,,,,,,,,
Oct 99,81.046321,,,81.722948,,0.017866,123.803323,39.523397,77.518469,77.174786,,,,,,,,
Nov 99,81.737902,,,79.807642,,0.017982,125.414596,39.952972,79.062903,77.68502,,,,,,,,
Dic 99,82.267648,,,81.032693,,0.018073,123.207667,39.946304,80.182264,79.143526,,,,,,,,
Ene 00,83.509354,,,83.945872,,0.04093,127.052395,38.794389,80.251436,80.195363,,,,,,,,
Feb 00,84.747918,,,84.282162,,0.046334,124.140075,39.371884,81.89526,81.753456,,,,,,,,
Mar 00,85.202723,,,85.948388,,0.04922,126.871727,39.881847,80.192194,82.856099,,,,,,,,
Abr 00,84.720371,,,83.422082,,0.047115,129.650671,39.523765,80.927473,81.428828,,,,,,,,
May 00,85.341478,,,84.363351,,0.048748,128.996124,39.519803,81.396146,82.387945,,,,,,,,
Jun 00,86.098512,,,83.963046,,0.053189,130.451909,39.290128,79.969579,83.687992,,,,,,,,
Jul 00,86.825024,,,87.897239,,0.057406,121.634363,38.559185,78.54632,88.05865,,,,,,,,
Ago 00,85.846912,,,87.9725,,0.058626,131.558767,38.518188,79.283645,83.409375,,,,,,,,
Sep 00,85.44299,,,89.047417,,0.057849,132.144945,38.401984,77.299573,83.043668,,,,,,,,
Oct 00,85.291778,,,86.118433,,0.057436,124.918707,37.939342,77.536664,83.769968,,,,,,,,
Nov 00,84.360664,,,82.142764,,0.054914,126.617207,37.211299,76.031907,82.808318,,,,,,,,
Dic 00,82.314394,,,80.867105,,0.050159,127.298042,36.677108,74.382076,80.303585,,,,,,,,
Ene 01,85.035132,,,85.327429,,0.016459,129.20396,35.829756,73.954787,84.269106,,,,,,,,
