periodo,INPC (índice),INPC var. mensual (%),INPC inflación anual (%),Subyacente (índice),Subyacente var. mensual (%),Subyacente inflación anual (%),Mercancías var. mensual (%),Mercancías inflación anual (%),Servicios var. mensual (%),Servicios inflación anual (%),No subyacente var. mensual (%),No subyacente inflación anual (%),Agropecuarios var. mensual (%),Agropecuarios inflación anual (%),Energéticos y tarifas var. mensual (%),Energéticos y tarifas inflación anual (%),Incidencia subyacente (p.p.),Incidencia no subyacente (p.p.)
Jul 25,140.78,0.267085,3.512423,140.45448,0.306316,4.231043,0.223921,4.017181,0.38505,4.443306,0.133813,1.144126,0.134267,0.173018,0.133436,1.974831,,
Ago 25,140.867,0.061799,3.568777,140.761891,0.218869,4.227038,0.207582,4.050225,0.229636,4.396247,-0.473466,1.375467,-1.066931,1.209125,0.020298,1.512771,,
Sep 25,141.197,0.23,3.76,141.227101,0.33,4.28,0.34,4.19,0.32,4.36,-0.1,2.02,-0.14,2.76,-0.06,1.42,0.256,-0.022
Oct 25,141.708,0.36,3.57,141.630371,0.29,4.28,0.17,4.12,0.39,4.44,0.63,1.18,-0.9,0.1,1.89,2.07,0.221,0.141
Nov 25,142.645,0.66,3.8,141.895672,0.19,4.43,-0.03,4.37,0.39,4.49,2.28,1.73,1.43,0.9,2.97,2.4,0.145,0.516
Dic 25,143.042,0.28,3.69,142.474483,0.41,4.33,0.33,4.3,0.48,4.35,-0.16,1.61,-0.66,0.88,0.24,2.19,0.314,-0.036
Ene 26,143.588,0.38,3.79,143.331326,0.6,4.52,0.92,4.56,0.3,4.48,-0.36,1.39,-0.86,1.52,0.03,1.28,0.464,-0.082
Feb 26,144.307,0.5,4.02,143.98976,0.46,4.5,0.39,4.55,0.52,4.45,0.64,2.44,1.45,4.5,0.02,0.89,0.355,0.146
Mar 26,145.544,0.86,4.59,144.543429,0.38,4.45,0.29,4.38,0.48,4.51,2.46,5.05,4.52,8.77,0.85,2.21,0.297,0.56
Abr 26,145.831,0.2,4.45,144.991329,0.31,4.26,0.31,3.99,0.31,4.52,-0.18,5.08,0.86,7.98,-1.03,2.8,0.238,-0.041
May 26,145.527,-0.21,3.94,145.315299,0.22,4.19,0.16,3.78,0.29,4.57,-1.65,3.1,-1.64,2.9,-1.67,3.27,0.172,-0.381
Jun 26,145.131,-0.27,3.37,145.671279,0.24,4.03,0.18,3.55,0.3,4.49,-2.04,1.11,-4.59,-1.72,0.08,3.46,0.189,-0.461
Jul 26,145.169,0.03,3.12,146.000093,0.23,3.95,0.19,3.52,0.26,4.36,-0.67,0.29,-1.51,-3.34,-0.01,3.31,0.175,-0.15
