periodo,Índice total (desest.),Var. mensual total (%),Var. anual total (%),Índice construcción (desest.),Var. mensual construcción (%),Var. anual construcción (%),Índice maquinaria y equipo (desest.),Var. mensual maquinaria y equipo (%),Var. anual maquinaria y equipo (%),Índice residencial (desest.),Var. anual residencial (%),Índice no residencial (desest.),Var. anual no residencial (%),Índice maquinaria y equipo nacional (desest.),Var. anual maquinaria y equipo nacional (%),Índice equipo de transporte nacional (desest.),Var. anual equipo de transporte nacional (%),"Índice maquinaria, equipo y otros bienes nacionales (desest.)","Var. anual maquinaria, equipo y otros bienes nacionales (%)",Índice maquinaria y equipo importado (desest.),Var. anual maquinaria y equipo importado (%),Índice equipo de transporte importado (desest.),Var. anual equipo de transporte importado (%),"Índice maquinaria, equipo y otros bienes importados (desest.)","Var. anual maquinaria, equipo y otros bienes importados (%)",Índice total (original),Var. anual original total (%),Acumulado ene-mes total (%),Índice construcción (original),Var. anual original construcción (%),Acumulado ene-mes construcción (%),Índice residencial (original),Var. anual original residencial (%),Acumulado ene-mes residencial (%),Índice no residencial (original),Var. anual original no residencial (%),Acumulado ene-mes no residencial (%),Índice maquinaria y equipo (original),Var. anual original maquinaria y equipo (%),Acumulado ene-mes maquinaria y equipo (%)
May 95,38.42,-0.07444,-0.418231,50.89,-0.110159,-0.43861,24.28,0.087326,-0.354599,55.82,-0.123016,47.97,-0.595395,38.32,-0.366821,15.16,-0.714555,60.54,-0.136007,13.72,-0.334627,8.76,-0.568473,14.42,-0.320132,36.3,-0.407444,-0.337109,47.22,-0.43712,-0.33555,46.68,-0.119744,-0.07547,47.81,-0.594384,-0.484731,23.66,-0.324964,-0.341477
Jun 95,40.14,0.044768,-0.394387,53.83,0.057772,-0.40295,24.39,0.00453,-0.372685,57.52,-0.094743,49.94,-0.583695,36.95,-0.411718,13.14,-0.770681,61.46,-0.132043,14.82,-0.311338,10.84,-0.395764,15.17,-0.302208,36.87,-0.393586,-0.346156,49.51,-0.40335,-0.34645,52.43,-0.092593,-0.078226,46.3,-0.581904,-0.500348,22.24,-0.366382,-0.345426
Jul 95,40.34,0.004983,-0.389989,53.41,-0.007802,-0.40477,24.86,0.01927,-0.362564,57.21,-0.106513,49.8,-0.577501,37.83,-0.376668,13.31,-0.747102,59.77,-0.172619,14.97,-0.326888,12.31,-0.558306,15.2,-0.288056,38.79,-0.388363,-0.352199,51.42,-0.398385,-0.353829,54.18,-0.096247,-0.080804,48.38,-0.574007,-0.510771,24.16,-0.362365,-0.347902
Ago 95,40.74,0.009916,-0.388196,54.93,0.028459,-0.390547,24.44,-0.016895,-0.378433,59.4,-0.087417,49.66,-0.585095,37.08,-0.408612,11.22,-0.806285,62.72,-0.135016,15.03,-0.317439,17.2,0.221591,14.59,-0.361488,42.41,-0.385095,-0.356631,57.62,-0.384796,-0.358001,64.17,-0.078679,-0.080501,50.4,-0.58035,-0.519827,24.8,-0.385835,-0.353014
Sep 95,42.75,0.049337,-0.349018,58.09,0.057528,-0.343245,24.84,0.016367,-0.366972,58.47,-0.1161,54.14,-0.535518,37.6,-0.397146,11.31,-0.785267,63.07,-0.154897,15.27,-0.311542,18.71,-0.104356,14.68,-0.343177,43.08,-0.348753,-0.355729,59.77,-0.338901,-0.355803,70.95,-0.114785,-0.085332,47.46,-0.533379,-0.521173,23.76,-0.375723,-0.355573
Oct 95,42.89,0.003275,-0.355716,58.45,0.006197,-0.349761,24.5,-0.013688,-0.371473,60.17,-0.096682,56.3,-0.509838,37.47,-0.37152,13.87,-0.719571,63.39,-0.128899,14.91,-0.366879,17.84,-0.325009,14.41,-0.374566,43.26,-0.352976,-0.355444,60.28,-0.348606,-0.355044,61.45,-0.095392,-0.086405,59.0,-0.506854,-0.519676,23.54,-0.36567,-0.356573
Nov 95,44.49,0.037305,-0.318056,62.73,0.073225,-0.276804,23.89,-0.024898,-0.402451,62.81,-0.050348,62.13,-0.424616,36.99,-0.396771,10.68,-0.784417,65.03,-0.112582,14.35,-0.419263,16.06,-0.403639,13.92,-0.429742,46.44,-0.316958,-0.351774,62.14,-0.273556,-0.347812,61.15,-0.052672,-0.0833,63.25,-0.417855,-0.510844,28.24,-0.407594,-0.36233
Dic 95,46.21,0.03866,-0.205468,65.28,0.04065,-0.141504,24.38,0.020511,-0.363779,65.4,-0.023443,66.04,-0.24153,37.08,-0.393225,12.91,-0.731601,67.21,-0.034478,14.97,-0.2985,13.87,0.742462,14.51,-0.340155,51.98,-0.217993,-0.340364,74.88,-0.151501,-0.331343,72.83,-0.030872,-0.078226,77.13,-0.248685,-0.490988,25.47,-0.382396,-0.364115
Ene 96,47.06,0.018394,-0.082114,66.34,0.016238,-0.076944,25.89,0.061936,-0.076347,64.91,-0.011874,67.78,-0.138207,40.69,-0.121356,15.68,-0.349917,69.35,-0.017705,15.19,0.050484,17.85,1.114929,14.61,-0.0247,47.68,-0.065648,-0.065648,65.62,-0.07421,-0.07421,63.38,-0.005648,-0.005648,68.09,-0.135475,-0.135475,26.9,-0.040314,-0.040314
Feb 96,45.77,-0.027412,0.081011,63.34,-0.045222,0.103869,25.93,0.001545,0.037615,61.52,0.082717,65.38,0.125495,42.16,0.006926,17.14,-0.109148,70.85,0.035667,14.32,0.193333,16.68,1.143959,14.29,0.135028,46.14,0.08975,0.00482,63.52,0.086927,-0.001392,61.6,0.069073,0.029829,65.63,0.105813,-0.031786,26.01,0.097932,0.023009
