periodo,Índice total (desest.),Var. mensual total (%),Var. anual total (%),Índice construcción (desest.),Var. mensual construcción (%),Var. anual construcción (%),Índice maquinaria y equipo (desest.),Var. mensual maquinaria y equipo (%),Var. anual maquinaria y equipo (%),Índice residencial (desest.),Var. anual residencial (%),Índice no residencial (desest.),Var. anual no residencial (%),Índice maquinaria y equipo nacional (desest.),Var. anual maquinaria y equipo nacional (%),Índice equipo de transporte nacional (desest.),Var. anual equipo de transporte nacional (%),"Índice maquinaria, equipo y otros bienes nacionales (desest.)","Var. anual maquinaria, equipo y otros bienes nacionales (%)",Índice maquinaria y equipo importado (desest.),Var. anual maquinaria y equipo importado (%),Índice equipo de transporte importado (desest.),Var. anual equipo de transporte importado (%),"Índice maquinaria, equipo y otros bienes importados (desest.)","Var. anual maquinaria, equipo y otros bienes importados (%)",Índice total (original),Var. anual original total (%),Acumulado ene-mes total (%),Índice construcción (original),Var. anual original construcción (%),Acumulado ene-mes construcción (%),Índice residencial (original),Var. anual original residencial (%),Acumulado ene-mes residencial (%),Índice no residencial (original),Var. anual original no residencial (%),Acumulado ene-mes no residencial (%),Índice maquinaria y equipo (original),Var. anual original maquinaria y equipo (%),Acumulado ene-mes maquinaria y equipo (%)
Ago 03,66.41,0.000301,0.021535,80.55,-0.010928,0.000994,50.08,0.019336,0.058998,75.29,0.017707,86.23,-0.012257,62.8,-0.049349,39.63,-0.129967,87.57,-0.014073,40.67,0.218029,63.7,0.110724,37.58,0.252667,67.99,-0.007155,0.034578,83.92,-0.025319,0.048638,80.88,-0.012454,0.059892,87.27,-0.038135,0.0385,49.54,0.030366,0.007629
Sep 03,64.88,-0.023039,-0.021565,79.22,-0.016511,-0.032487,48.56,-0.030351,0.009773,73.63,-0.010216,85.35,-0.047539,62.32,-0.074547,39.63,-0.096443,86.64,-0.063959,38.58,0.146508,61.78,0.093451,35.55,0.165956,65.85,-0.017604,0.028441,80.78,-0.045492,0.037264,85.7,-0.036754,0.046571,75.36,-0.056349,0.028545,48.57,0.041158,0.011363
Oct 03,65.91,0.015875,-0.000455,80.62,0.017672,-0.016949,49.21,0.013386,0.029067,75.89,0.016747,86.2,-0.04169,62.54,-0.044023,38.33,-0.136906,89.11,0.00621,39.24,0.127262,57.96,-0.126582,36.97,0.195666,66.79,0.000449,0.025506,81.25,-0.015152,0.031741,73.82,0.013872,0.043256,89.43,-0.040039,0.021064,50.04,0.031115,0.013414
Nov 03,64.88,-0.015627,-0.028452,78.31,-0.028653,-0.056733,49.36,0.003048,0.018362,73.07,-0.034997,84.4,-0.071201,62.2,-0.071642,38.53,-0.120119,88.12,-0.048688,39.92,0.165207,52.13,-0.083026,38.25,0.222435,67.43,-0.042731,0.018709,75.5,-0.058838,0.023322,67.14,-0.037281,0.036129,84.71,-0.07673,0.011577,58.09,-0.017256,0.009971
Dic 03,66.13,0.019266,0.002577,79.66,0.017239,-0.033956,50.29,0.018841,0.077335,75.31,-0.004363,84.53,-0.060151,63.53,0.010337,40.11,0.04562,88.85,-0.002694,40.32,0.164308,54.22,-0.006414,38.96,0.21598,72.54,0.02169,0.018981,85.64,-0.027812,0.018587,78.57,-0.001905,0.032674,93.41,-0.050808,0.005698,57.37,0.120508,0.019767
Ene 04,69.76,0.054892,0.057931,87.55,0.099046,0.063274,49.72,-0.011334,0.048945,85.1,0.124769,89.42,0.004268,63.8,0.008696,39.95,-0.086231,87.95,0.063997,39.17,0.105872,50.83,-0.011474,37.57,0.120155,67.39,0.05826,0.05826,84.28,0.070086,0.070086,81.91,0.134959,0.134959,86.9,0.010348,0.010348,47.82,0.034617,0.034617
Feb 04,68.55,-0.017345,0.016459,84.43,-0.035637,0.004402,50.13,0.008246,0.041338,78.93,0.013612,90.3,-0.005616,64.15,0.008806,39.44,-0.068933,90.9,0.043748,40.02,0.096438,51.13,-0.111246,38.6,0.140662,65.73,0.007356,0.032498,84.24,-0.002841,0.032345,79.97,0.006545,0.067669,88.93,-0.012108,-0.001136,44.29,0.030479,0.032623
Mar 04,70.07,0.022174,0.060061,87.04,0.030913,0.077494,50.89,0.015161,0.035823,82.51,0.130119,91.99,0.02359,66.46,0.046944,41.48,0.02243,93.73,0.058379,39.43,0.025754,55.72,0.158179,37.32,0.006744,71.92,0.087226,0.051056,90.36,0.087365,0.050905,83.19,0.154935,0.095775,98.26,0.031276,0.010247,50.55,0.086396,0.051057
Abr 04,70.48,0.005851,0.054616,87.04,0.0,0.064449,51.21,0.006288,0.029347,81.92,0.097829,92.12,0.028355,64.6,-0.002317,41.81,0.040309,89.1,-0.030679,41.5,0.077922,53.5,0.044106,39.94,0.079168,68.62,0.063381,0.05412,85.47,0.082858,0.058659,83.83,0.129176,0.104099,87.28,0.037689,0.016741,49.1,0.026338,0.044615
May 04,70.33,-0.002128,0.067547,85.88,-0.013327,0.074575,51.92,0.013864,0.043828,81.4,0.111263,91.15,0.040763,64.11,-0.000935,41.27,0.011024,88.77,0.005095,42.88,0.08667,57.35,0.173522,40.76,0.082891,66.83,0.054267,0.054149,82.71,0.079342,0.062603,73.38,0.123049,0.107508,92.99,0.04401,0.022205,48.43,0.008118,0.037045
Jun 04,70.78,0.006398,0.063721,87.17,0.015021,0.075509,52.4,0.009245,0.059871,82.79,0.118179,91.75,0.036138,64.51,-0.009975,40.7,-0.020929,89.91,-0.002552,43.2,0.132669,59.74,0.157303,41.21,0.135888,67.56,0.088975,0.05976,82.67,0.077274,0.064955,78.79,0.118699,0.109325,86.95,0.039077,0.024878,50.06,0.111703,0.049198
Jul 04,70.22,-0.007912,0.057689,85.39,-0.02042,0.048502,52.97,0.010878,0.07816,79.99,0.065113,91.3,0.028269,64.89,0.031802,41.31,0.051948,90.5,0.02364,43.78,0.130974,50.63,-0.201797,42.65,0.203103,70.52,0.048157,0.058034,86.63,0.041727,0.061517,79.46,0.055386,0.101346,94.51,0.029296,0.025533,51.88,0.060941,0.050961
Ago 04,69.28,-0.013386,0.043216,83.55,-0.021548,0.037244,52.67,-0.005664,0.051717,77.12,0.024306,91.0,0.055317,68.09,0.084236,44.3,0.11784,93.17,0.063949,41.46,0.019425,49.65,-0.220565,40.29,0.072113,70.25,0.03324,0.054794,84.93,0.012035,0.055086,80.22,-0.00816,0.08633,90.11,0.032543,0.026398,53.26,0.075091,0.054148
Sep 04,70.01,0.010537,0.079069,84.93,0.016517,0.072078,53.06,0.007405,0.092669,79.15,0.074969,92.04,0.078383,67.07,0.07622,43.92,0.108251,92.19,0.064058,42.94,0.113012,51.66,-0.163807,41.65,0.171589,70.65,0.072893,0.056827,85.77,0.061773,0.055829,90.46,0.055543,0.082424,80.6,0.069533,0.030551,53.13,0.093885,0.058704
Oct 04,71.11,0.015712,0.078895,85.63,0.008242,0.062143,54.21,0.021674,0.101605,79.64,0.049414,92.83,0.076914,67.97,0.086824,45.04,0.175059,92.51,0.038155,44.03,0.122069,54.37,-0.061939,42.46,0.148499,70.83,0.060488,0.057202,86.6,0.065846,0.056837,77.6,0.051206,0.079349,96.5,0.079056,0.035525,52.57,0.05056,0.057844
Nov 04,71.66,0.007734,0.104501,86.25,0.00724,0.101392,54.56,0.006456,0.105348,80.65,0.103736,92.95,0.101303,67.64,0.08746,44.06,0.143525,92.81,0.053223,45.44,0.138277,63.49,0.217917,43.1,0.126797,76.3,0.131544,0.064161,83.91,0.111391,0.0615,75.34,0.122133,0.082867,93.34,0.101877,0.0414,67.49,0.161818,0.069202
Dic 04,71.54,-0.001675,0.081809,85.85,-0.004638,0.077705,55.06,0.009164,0.09485,79.22,0.051919,93.2,0.102567,70.69,0.112703,46.88,0.168786,96.06,0.081148,43.12,0.069444,73.51,0.355773,39.59,0.01617,78.99,0.088916,0.066425,93.29,0.089327,0.06396,83.32,0.060456,0.0809,104.27,0.116262,0.048059,62.43,0.088199,0.071052
Ene 05,73.2,0.023204,0.049312,89.27,0.039837,0.019646,54.54,-0.009444,0.096943,83.97,-0.013278,94.44,0.05614,67.41,0.056583,39.58,-0.009262,96.48,0.096987,44.71,0.141435,76.8,0.510919,40.22,0.070535,69.76,0.035168,0.035168,86.15,0.022188,0.022188,80.81,-0.013429,-0.013429,92.03,0.059033,0.059033,50.78,0.061899,0.061899
Feb 05,71.83,-0.018716,0.047848,86.87,-0.026885,0.0289,54.49,-0.000917,0.086974,82.13,0.040542,91.78,0.01639,69.2,0.078722,46.21,0.171653,94.14,0.035644,43.5,0.086957,68.17,0.333268,40.04,0.037306,67.94,0.033622,0.034405,85.77,0.018162,0.020176,81.98,0.025134,0.005621,89.95,0.01147,0.034977,47.28,0.06751,0.064597
Mar 05,73.33,0.020883,0.046525,89.28,0.027743,0.025735,54.83,0.00624,0.077422,84.53,0.024482,93.33,0.014567,68.88,0.036413,45.98,0.108486,93.72,-0.000107,44.57,0.130358,76.81,0.3785,40.3,0.07985,71.45,-0.006535,0.020045,89.88,-0.005312,0.011279,83.32,0.001563,0.004244,97.1,-0.011805,0.018206,50.1,-0.008902,0.038553
Abr 05,71.88,-0.019774,0.019864,87.05,-0.024978,0.000115,54.92,0.001641,0.072447,82.21,0.00354,92.13,0.000109,71.28,0.103406,47.35,0.132504,96.93,0.087879,43.04,0.037108,68.28,0.276262,39.72,-0.005508,73.55,0.071845,0.033034,88.83,0.039312,0.018237,88.24,0.052606,0.01657,89.48,0.025206,0.019897,55.86,0.137678,0.063934
May 05,72.68,0.01113,0.033414,88.12,0.012292,0.026083,54.69,-0.004188,0.053351,83.1,0.020885,93.52,0.026001,71.98,0.122758,47.32,0.146596,99.06,0.115918,41.74,-0.026586,72.07,0.25667,38.4,-0.0579,69.74,0.043543,0.035096,85.35,0.031919,0.020887,75.7,0.031616,0.019315,95.97,0.032046,0.022383,51.66,0.066694,0.064491
Jun 05,73.1,0.005779,0.032778,88.46,0.003858,0.014799,55.88,0.021759,0.066412,84.9,0.025486,92.7,0.010354,70.64,0.095024,46.79,0.149631,96.51,0.073407,45.29,0.04838,66.73,0.117007,42.39,0.028634,70.13,0.03804,0.035584,83.98,0.015846,0.020069,80.56,0.022465,0.019831,87.74,0.009086,0.020247,54.1,0.080703,0.067287
Jul 05,72.47,-0.008618,0.032042,87.09,-0.015487,0.019909,55.39,-0.008769,0.045686,82.49,0.031254,91.83,0.005805,67.26,0.036523,40.47,-0.020334,95.11,0.050939,46.18,0.05482,75.46,0.490421,42.48,-0.003986,71.63,0.01574,0.03266,87.99,0.015699,0.019435,81.27,0.022779,0.020249,95.39,0.009311,0.018622,52.67,0.015227,0.059393
Ago 05,73.63,0.016007,0.062789,87.05,-0.000459,0.041891,57.96,0.046398,0.100437,81.52,0.057054,93.6,0.028571,70.9,0.041269,46.11,0.040858,97.33,0.04465,48.67,0.173903,75.84,0.527492,45.17,0.121122,75.23,0.07089,0.037553,87.32,0.028141,0.02052,83.61,0.042259,0.023004,91.41,0.014427,0.018101,61.23,0.149643,0.07155
Sep 05,74.27,0.008692,0.060848,87.82,0.008845,0.034028,58.3,0.005866,0.098756,82.49,0.042198,94.42,0.025858,73.69,0.098703,50.55,0.150956,98.21,0.0653,47.21,0.099441,73.57,0.424119,43.14,0.035774,74.68,0.057042,0.039776,88.3,0.029497,0.021524,93.59,0.034601,0.024439,82.47,0.023201,0.018611,58.91,0.10879,0.075961
Oct 05,74.57,0.004039,0.048657,87.8,-0.000228,0.025342,58.99,0.011835,0.088176,82.62,0.037418,93.93,0.01185,76.55,0.126232,53.32,0.183837,101.27,0.094692,46.65,0.059505,71.6,0.316903,42.72,0.006123,74.49,0.051673,0.040997,89.09,0.028753,0.022257,81.19,0.046263,0.026533,97.79,0.013368,0.01805,57.59,0.095492,0.07801
Nov 05,76.83,0.030307,0.072146,90.62,0.032118,0.050667,60.77,0.030175,0.11382,85.99,0.066212,96.11,0.033997,77.32,0.143111,54.73,0.24217,100.77,0.085767,48.25,0.06184,75.22,0.184754,44.84,0.040371,82.27,0.078244,0.044704,89.26,0.063759,0.025971,82.25,0.091718,0.032087,96.98,0.038997,0.020013,74.17,0.098978,0.080499
Dic 05,77.85,0.013276,0.088202,92.29,0.018429,0.075015,62.31,0.025341,0.131675,86.41,0.09076,99.24,0.064807,77.18,0.091809,54.25,0.15721,100.31,0.044243,50.29,0.16628,74.36,0.011563,48.4,0.222531,86.11,0.090138,0.048948,101.38,0.086719,0.031469,91.5,0.098176,0.037779,112.26,0.076628,0.025376,68.43,0.096108,0.082043
Ene 06,78.69,0.01079,0.075,91.08,-0.013111,0.020276,64.51,0.035307,0.182802,86.65,0.031916,95.57,0.011965,79.57,0.180389,55.8,0.409803,103.76,0.075456,53.23,0.190561,75.93,-0.011328,50.17,0.247389,75.14,0.077122,0.077122,87.19,0.012072,0.012072,81.88,0.013241,0.013241,93.05,0.011083,0.011083,61.17,0.204608,0.204608
Feb 06,77.78,-0.011564,0.082834,91.24,0.001757,0.050305,62.47,-0.031623,0.146449,86.11,0.04846,96.62,0.052735,77.45,0.11922,53.47,0.157109,103.01,0.094221,51.33,0.18,77.82,0.141558,47.35,0.182567,72.97,0.074036,0.075599,89.32,0.04139,0.026698,84.34,0.028788,0.02107,94.79,0.053808,0.032201,54.03,0.142766,0.174791
Mar 06,79.7,0.024685,0.086868,94.96,0.040772,0.06362,62.56,0.001441,0.140981,90.11,0.066012,99.28,0.063752,76.74,0.114111,51.48,0.119617,104.71,0.117264,52.26,0.172538,75.73,-0.014061,49.28,0.222829,81.28,0.137579,0.096773,98.23,0.092902,0.049427,92.78,0.113538,0.052375,104.22,0.073326,0.04651,61.65,0.230539,0.193642
Abr 06,80.44,0.009285,0.119087,94.71,-0.002633,0.087995,63.74,0.018862,0.160597,90.8,0.104489,98.65,0.07077,76.79,0.077301,50.48,0.066103,105.38,0.087176,54.23,0.259991,83.99,0.230082,50.01,0.259063,77.03,0.047315,0.083905,93.62,0.053923,0.050566,94.05,0.065843,0.055929,93.14,0.040903,0.045149,57.81,0.034909,0.150181
May 06,80.73,0.003605,0.110759,95.27,0.005913,0.081139,63.83,0.001412,0.167124,91.86,0.105415,98.85,0.056993,78.93,0.096555,50.94,0.0765,110.46,0.115082,52.82,0.265453,71.7,-0.005134,50.7,0.320313,78.78,0.129624,0.092952,92.79,0.08717,0.057732,84.5,0.116248,0.067065,101.91,0.061894,0.048608,62.56,0.210995,0.162469
Jun 06,80.57,-0.001982,0.102189,95.18,-0.000945,0.075967,64.03,0.003133,0.145848,91.19,0.074087,100.1,0.079827,78.81,0.115657,50.63,0.082069,108.89,0.128277,53.46,0.180393,77.58,0.162596,50.36,0.188016,77.62,0.106802,0.09525,90.41,0.076566,0.060774,86.11,0.068893,0.067365,95.16,0.084568,0.054321,62.79,0.160628,0.162147
Jul 06,81.15,0.007199,0.119774,96.32,0.011977,0.105982,62.81,-0.019054,0.133959,93.79,0.136986,98.96,0.077643,77.02,0.145109,48.55,0.199654,107.62,0.131532,52.11,0.128411,70.77,-0.062152,49.27,0.15984,80.35,0.121737,0.099089,97.6,0.109217,0.067785,92.26,0.135228,0.077009,103.49,0.084915,0.058827,60.37,0.146193,0.159829
Ago 06,82.58,0.017622,0.121554,99.53,0.033326,0.143366,63.19,0.00605,0.090235,96.83,0.187807,102.61,0.096261,77.13,0.08787,47.12,0.021904,109.07,0.120621,53.03,0.089583,85.62,0.128956,48.68,0.077706,84.0,0.116576,0.1014,98.87,0.132272,0.075884,98.95,0.183471,0.090589,98.77,0.080516,0.06151,66.79,0.090805,0.149854
Sep 06,83.42,0.010172,0.123199,98.73,-0.008038,0.124231,65.07,0.029752,0.116123,96.95,0.175294,99.97,0.05878,77.81,0.05591,47.72,-0.055984,109.21,0.112005,55.72,0.180258,82.18,0.117031,51.09,0.184284,83.36,0.116229,0.103119,98.92,0.120272,0.080886,109.41,0.169035,0.10039,87.37,0.059416,0.0613,65.33,0.10898,0.144864
Oct 06,82.26,-0.013906,0.103125,98.27,-0.004659,0.119248,63.45,-0.024896,0.075606,95.18,0.152021,101.97,0.085596,75.99,-0.007315,46.5,-0.127907,105.79,0.044633,54.54,0.169132,77.6,0.083799,51.42,0.203652,83.45,0.120285,0.104898,100.49,0.12796,0.085692,95.09,0.171203,0.107314,106.44,0.088455,0.064188,63.71,0.106268,0.140749
Nov 06,82.46,0.002431,0.073279,97.93,-0.00346,0.080667,64.58,0.017809,0.062695,95.12,0.106175,101.52,0.05629,78.12,0.010347,49.38,-0.097753,108.62,0.0779,54.63,0.132228,95.71,0.272401,48.97,0.092105,88.37,0.074146,0.101739,97.43,0.09153,0.086234,92.38,0.123161,0.108743,102.99,0.061972,0.063977,77.87,0.049885,0.129779
Dic 06,83.26,0.009702,0.069493,97.64,-0.002961,0.057969,68.99,0.068287,0.107206,95.35,0.10346,101.23,0.020052,77.2,0.000259,49.75,-0.082949,106.44,0.061111,60.41,0.201233,136.95,0.841716,52.31,0.080785,91.14,0.058414,0.097533,108.34,0.068653,0.084558,101.85,0.113115,0.109141,115.48,0.028683,0.060466,71.22,0.040772,0.120859
Ene 07,81.24,-0.024261,0.032406,96.5,-0.011676,0.059508,63.81,-0.075083,-0.010851,92.09,0.062781,100.66,0.053259,74.52,-0.063466,47.45,-0.149642,104.74,0.009445,56.07,0.053353,86.62,0.140788,51.91,0.034682,78.15,0.040059,0.040059,91.65,0.051153,0.051153,85.57,0.045066,0.045066,98.34,0.056851,0.056851,62.52,0.02207,0.02207
Feb 07,83.24,0.024618,0.070198,98.14,0.016995,0.075625,66.12,0.036201,0.058428,94.01,0.091743,102.15,0.057235,77.2,-0.003228,49.96,-0.065644,106.65,0.035336,58.26,0.135009,76.16,-0.021331,55.06,0.16283,77.99,0.068795,0.054216,95.63,0.070645,0.061016,91.06,0.079677,0.062628,100.66,0.061926,0.059412,57.56,0.065334,0.042361
Mar 07,83.66,0.005046,0.049686,98.55,0.004178,0.037805,66.87,0.011343,0.068894,94.53,0.049051,102.48,0.032232,78.78,0.026583,52.63,0.022339,107.93,0.030752,58.68,0.122847,90.44,0.194243,54.06,0.096997,84.11,0.034818,0.047343,100.51,0.023211,0.047499,96.77,0.043005,0.055598,104.63,0.003934,0.039615,65.11,0.056123,0.047159
Abr 07,84.94,0.0153,0.055942,98.48,-0.00071,0.039806,68.74,0.027965,0.078444,93.92,0.034361,103.09,0.045008,77.64,0.011069,53.7,0.063788,103.45,-0.018315,62.43,0.151208,107.89,0.284558,56.19,0.123575,81.42,0.056991,0.049768,97.03,0.036424,0.044685,96.9,0.030303,0.04886,97.18,0.043376,0.040524,63.33,0.095485,0.059064
May 07,85.13,0.002237,0.054503,97.94,-0.005483,0.028026,70.76,0.029386,0.10857,92.49,0.006858,103.57,0.047749,79.64,0.008995,55.2,0.083628,107.84,-0.023719,64.37,0.218667,125.73,0.753556,56.25,0.109467,83.32,0.057629,0.051376,95.76,0.032008,0.042134,85.65,0.013609,0.042052,106.89,0.048867,0.04227,68.91,0.101503,0.067997
Jun 07,83.59,-0.01809,0.037483,95.61,-0.02379,0.004518,69.95,-0.011447,0.092457,91.29,0.001097,100.85,0.007493,79.17,0.004568,55.35,0.093225,105.74,-0.028928,63.1,0.180322,124.69,0.607244,54.98,0.091739,80.54,0.037619,0.049069,91.08,0.007411,0.036442,85.9,-0.002439,0.034736,96.79,0.017129,0.038161,68.34,0.08839,0.071554
Jul 07,86.75,0.037804,0.069008,98.76,0.032946,0.025332,70.92,0.013867,0.12912,93.64,-0.001599,104.71,0.058104,81.23,0.054661,53.18,0.095366,111.3,0.034194,63.12,0.211284,112.34,0.587396,57.1,0.15892,86.78,0.080025,0.053648,101.3,0.03791,0.036663,93.11,0.009213,0.030913,110.32,0.065997,0.042362,69.97,0.159019,0.084114
Ago 07,87.78,0.011873,0.062969,101.49,0.027643,0.019693,71.54,0.008742,0.132141,97.28,0.004647,106.06,0.033622,82.15,0.065085,57.99,0.230688,108.84,-0.002109,63.73,0.201773,104.12,0.216071,58.66,0.205012,88.84,0.057619,0.05418,99.77,0.009103,0.03302,99.11,0.001617,0.026858,100.51,0.017617,0.039246,76.18,0.14059,0.091857
Sep 07,92.69,0.055935,0.111124,103.92,0.023943,0.052568,78.73,0.100503,0.209928,98.57,0.01671,109.74,0.097729,82.4,0.05899,58.29,0.2215,108.9,-0.002839,76.01,0.364142,159.28,0.938184,62.08,0.215111,90.92,0.090691,0.058463,103.69,0.048221,0.034795,110.28,0.007952,0.024349,96.43,0.103697,0.045705,76.14,0.165468,0.100561
Oct 07,90.41,-0.024598,0.099076,105.15,0.011836,0.070011,73.26,-0.069478,0.15461,100.38,0.054633,110.78,0.086398,79.28,0.043295,51.08,0.098495,106.45,0.006239,68.89,0.26311,128.73,0.658892,62.17,0.209063,94.23,0.129179,0.065896,108.32,0.077918,0.039369,101.21,0.06436,0.028487,116.14,0.091131,0.050647,77.91,0.222885,0.113208
Nov 07,90.96,0.006083,0.10308,106.25,0.010461,0.084959,73.0,-0.003549,0.130381,102.06,0.07296,111.72,0.100473,80.63,0.03213,51.72,0.047388,109.63,0.009298,67.71,0.239429,110.74,0.157037,62.7,0.280376,97.14,0.099242,0.069236,106.17,0.089705,0.044063,99.14,0.073176,0.032567,113.92,0.106127,0.055931,86.68,0.113137,0.1132
Dic 07,90.54,-0.004617,0.087437,108.48,0.020988,0.11102,73.35,0.004795,0.063198,104.17,0.092501,114.61,0.132174,80.56,0.043523,50.28,0.010653,114.12,0.072153,65.62,0.086244,108.29,-0.209273,61.59,0.177404,99.25,0.088984,0.071084,121.05,0.117316,0.050945,111.89,0.098576,0.038605,131.14,0.135608,0.063619,73.99,0.038894,0.106285
Ene 08,91.99,0.016015,0.132324,106.51,-0.01816,0.103731,75.72,0.032311,0.186648,97.04,0.053752,115.29,0.145341,85.28,0.144391,65.18,0.373656,108.5,0.035898,69.79,0.244694,131.55,0.518702,60.96,0.17434,88.55,0.133077,0.133077,101.4,0.106383,0.106383,90.67,0.0596,0.0596,113.22,0.151312,0.151312,73.66,0.178183,0.178183
Feb 08,94.23,0.02435,0.132028,110.24,0.03502,0.123293,76.12,0.005283,0.15124,102.2,0.087118,117.99,0.155066,82.88,0.073575,56.33,0.127502,111.14,0.0421,72.1,0.237556,137.79,0.809217,63.37,0.150926,89.61,0.148993,0.141027,106.8,0.116804,0.111704,98.31,0.079618,0.06992,116.15,0.153884,0.152613,69.71,0.211084,0.193954
Mar 08,92.44,-0.018996,0.104949,106.66,-0.032475,0.082293,74.94,-0.015502,0.120682,100.33,0.061356,113.58,0.108314,80.27,0.018913,54.08,0.027551,109.9,0.018253,71.93,0.225801,116.68,0.290137,64.96,0.201628,86.05,0.023065,0.099729,103.35,0.028256,0.08256,97.38,0.006304,0.047403,109.93,0.050655,0.117479,66.01,0.013823,0.130623
Abr 08,93.02,0.006274,0.095126,107.02,0.003375,0.086718,77.72,0.037096,0.130637,99.33,0.057602,114.9,0.11456,83.2,0.071613,57.91,0.078399,110.44,0.067569,73.22,0.172834,127.04,0.177496,66.31,0.180103,95.34,0.170965,0.11776,108.99,0.123261,0.092823,107.19,0.106192,0.062787,110.96,0.141799,0.123375,79.54,0.255961,0.162562
May 08,95.1,0.022361,0.117115,110.28,0.030462,0.125996,78.01,0.003731,0.102459,102.72,0.110607,118.29,0.142126,81.17,0.019211,58.31,0.056341,107.62,-0.00204,75.85,0.178344,115.55,-0.080967,70.37,0.251022,92.41,0.109097,0.115978,107.98,0.127611,0.099754,95.4,0.113835,0.072376,121.84,0.139863,0.126847,74.38,0.079379,0.144504
Jun 08,96.18,0.011356,0.150616,111.28,0.009068,0.163895,78.2,0.002436,0.117941,102.05,0.117866,120.83,0.198116,82.06,0.036504,61.23,0.106233,105.75,9.5e-05,74.98,0.188273,110.62,-0.11284,70.39,0.280284,92.23,0.145145,0.120816,106.54,0.169741,0.110905,96.12,0.118976,0.079764,118.01,0.219238,0.14164,75.66,0.107112,0.13788
Jul 08,97.7,0.015804,0.126225,110.75,-0.004763,0.121405,79.9,0.021739,0.126622,100.13,0.069308,123.17,0.176296,82.68,0.017851,57.2,0.075592,111.22,-0.000719,78.08,0.237009,118.64,0.05608,72.5,0.269702,99.91,0.151302,0.125439,115.19,0.137117,0.114851,101.31,0.088068,0.080981,130.47,0.18265,0.147969,82.22,0.175075,0.143591
Ago 08,92.91,-0.049028,0.058442,106.17,-0.041354,0.046113,77.13,-0.034668,0.078138,98.12,0.008635,115.18,0.085989,82.73,0.00706,61.4,0.058803,106.51,-0.021408,72.81,0.142476,106.45,0.022378,68.57,0.16894,91.6,0.031067,0.112758,103.1,0.033377,0.104331,98.69,-0.004238,0.069476,107.95,0.074022,0.138853,78.28,0.027566,0.126974
Sep 08,91.06,-0.019912,-0.017586,104.82,-0.012715,0.008661,74.16,-0.038506,-0.058046,95.37,-0.032464,116.02,0.057226,78.17,-0.051335,55.05,-0.055584,103.66,-0.048118,70.77,-0.068938,90.6,-0.43119,66.93,0.078125,90.57,-0.00385,0.098661,103.86,0.00164,0.092182,105.24,-0.045702,0.054432,102.34,0.061288,0.13065,75.19,-0.012477,0.109512
Oct 08,91.21,0.001647,0.008849,106.26,0.013738,0.010556,73.52,-0.00863,0.003549,100.63,0.002491,113.5,0.024553,78.87,-0.005172,49.32,-0.034456,107.5,0.009864,70.39,0.021774,117.18,-0.089723,65.81,0.058549,96.04,0.019208,0.089814,110.2,0.017356,0.083951,101.48,0.002668,0.048892,119.8,0.031514,0.119449,79.63,0.022077,0.099582
Nov 08,89.76,-0.015897,-0.013193,104.25,-0.018916,-0.018824,72.68,-0.011425,-0.004384,96.28,-0.056633,114.42,0.024168,79.85,-0.009674,50.49,-0.023782,109.05,-0.005291,66.87,-0.012406,100.74,-0.090302,62.93,0.003668,93.69,-0.035516,0.07691,104.68,-0.014034,0.074415,92.9,-0.062941,0.038279,117.66,0.03283,0.110807,80.96,-0.06599,0.081007
Dic 08,85.69,-0.045343,-0.053567,104.3,0.00048,-0.038532,69.86,-0.0388,-0.04758,93.63,-0.101181,116.97,0.020592,75.65,-0.060948,50.66,0.007558,102.45,-0.102261,62.55,-0.046785,91.35,-0.156432,60.09,-0.024355,96.53,-0.027406,0.066981,116.74,-0.035605,0.063426,101.19,-0.09563,0.025324,133.87,0.020817,0.101536,73.12,-0.011758,0.0729
Ene 09,81.63,-0.04738,-0.112621,102.09,-0.021189,-0.041498,57.9,-0.1712,-0.235341,84.38,-0.130462,119.27,0.034522,54.95,-0.355652,31.93,-0.510126,81.73,-0.246728,62.54,-0.103883,49.59,-0.623033,61.18,0.003609,78.39,-0.114737,-0.114737,98.26,-0.030966,-0.030966,80.95,-0.107202,-0.107202,117.32,0.036213,0.036213,55.38,-0.248167,-0.248167
Feb 09,80.98,-0.007963,-0.140613,100.3,-0.017534,-0.090167,57.95,0.000864,-0.238702,83.66,-0.181409,117.14,-0.007204,57.18,-0.310087,35.49,-0.369963,80.78,-0.273169,59.47,-0.175173,65.17,-0.527034,58.53,-0.076377,75.26,-0.160138,-0.137573,96.19,-0.099345,-0.066042,80.21,-0.184111,-0.147211,113.78,-0.020405,0.007542,51.03,-0.267967,-0.257795
Mar 09,80.75,-0.00284,-0.12646,100.02,-0.002792,-0.062254,57.99,0.00069,-0.226181,86.52,-0.137646,115.08,0.013207,54.61,-0.319671,35.03,-0.352256,76.22,-0.30646,60.46,-0.159461,68.63,-0.41181,58.82,-0.09452,78.89,-0.083207,-0.119867,98.34,-0.048476,-0.060215,85.57,-0.121277,-0.138392,112.4,0.022469,0.012378,56.37,-0.146038,-0.222562
