periodo,Primarias,Secundarias,Terciarias,Var. trim. Terciarias (%),Var. anual Terciarias (%),PIB,Var. trim. PIB (%),Var. anual PIB (%),Var. trim. Primarias (%),Var. anual Primarias (%),Var. trim. Secundarias (%),Var. anual Secundarias (%)
2T-07,680502.853,7227258.756,11283820.681,0.049792,0.023677,20509471.918,0.038686,0.019554,0.099658,0.055976,0.015555,0.013731
3T-07,572297.676,7306670.858,11177416.519,-0.00943,0.033601,20266835.203,-0.01183,0.021719,-0.159008,0.052061,0.010988,0.004328
4T-07,732924.061,7206855.661,11428227.271,0.022439,0.034609,20482204.665,0.010627,0.022039,0.280669,0.025929,-0.013661,0.009541
1T-08,609458.186,7088503.908,10904087.123,-0.045864,0.014464,19902921.79,-0.028282,0.007968,-0.168457,-0.015147,-0.016422,-0.003942
2T-08,698691.862,7290207.761,11617818.104,0.065455,0.0296,20998503.91,0.055046,0.023844,0.146415,0.026729,0.028455,0.00871
3T-08,563853.185,7216495.651,11457823.121,-0.013772,0.025087,20495872.627,-0.023937,0.011301,-0.192987,-0.014755,-0.010111,-0.012341
4T-08,753298.764,7019775.964,11435254.89,-0.00197,0.000615,20370948.404,-0.006095,-0.005432,0.335984,0.027799,-0.02726,-0.025959
1T-09,599965.766,6383401.005,10409714.859,-0.089682,-0.045338,18537259.148,-0.090015,-0.068616,-0.203549,-0.015575,-0.090655,-0.099471
2T-09,681899.134,6420353.509,10587429.028,0.017072,-0.08869,18827563.207,0.015661,-0.103385,0.136563,-0.024035,0.005789,-0.119318
3T-09,554365.53,6684243.826,10935866.207,0.03291,-0.045555,19292209.618,0.024679,-0.058727,-0.187027,-0.016826,0.041102,-0.073755
4T-09,716067.968,6810224.411,11341950.474,0.037133,-0.008159,19963698.743,0.034806,-0.019992,0.291689,-0.049424,0.018847,-0.029852
1T-10,586514.444,6696977.626,10956604.462,-0.033975,0.052536,19371870.871,-0.029645,0.045023,-0.180924,-0.02242,-0.016629,0.049124
2T-10,723013.451,6892643.779,11379540.882,0.038601,0.074816,20180561.282,0.041746,0.071863,0.232729,0.060294,0.029217,0.073561
3T-10,588283.058,6983534.678,11527917.746,0.013039,0.054139,20200797.992,0.001003,0.047096,-0.186346,0.061183,0.013187,0.044776
4T-10,716262.954,6961241.72,11945987.766,0.036266,0.053257,20676573.452,0.023552,0.035709,0.217548,0.000272,-0.003192,0.022175
1T-11,591331.127,6837462.284,11518519.394,-0.035783,0.051285,20091352.133,-0.028304,0.037141,-0.174422,0.008212,-0.017781,0.020977
2T-11,640002.259,7041134.4,11819730.299,0.02615,0.038683,20682934.142,0.029445,0.024894,0.082308,-0.114813,0.029788,0.021543
3T-11,589802.57,7203286.747,12054645.365,0.019875,0.045691,20950181.653,0.012921,0.037097,-0.078437,0.002583,0.023029,0.031467
4T-11,729678.032,7318706.614,12354200.882,0.02485,0.034172,21475374.344,0.025069,0.038633,0.237156,0.018729,0.016023,0.051351
1T-12,613060.893,7227740.77,12062944.807,-0.023575,0.047265,21083780.274,-0.018235,0.049396,-0.15982,0.036747,-0.012429,0.057079
2T-12,719124.96,7360415.271,12249460.429,0.015462,0.036357,21522112.939,0.02079,0.040573,0.173007,0.123629,0.018356,0.045345
3T-12,592829.841,7460822.203,12307326.348,0.004724,0.020961,21479008.345,-0.002003,0.025242,-0.175623,0.005133,0.013641,0.035752
4T-12,780235.075,7364743.136,12854393.124,0.04445,0.040488,22071206.47,0.027571,0.027745,0.31612,0.069287,-0.012878,0.00629
1T-13,619948.865,7102917.541,12150217.498,-0.054781,0.007235,21025801.061,-0.047365,-0.00275,-0.205433,0.011235,-0.035551,-0.01727
2T-13,752123.102,7366725.401,12581930.176,0.035531,0.027142,21893508.352,0.041269,0.017256,0.213202,0.045887,0.037141,0.000857
3T-13,611277.558,7380939.988,12596331.654,0.001145,0.023482,21702816.349,-0.00871,0.01042,-0.187264,0.031118,0.00193,-0.010707
4T-13,803468.83,7408177.765,12992728.474,0.031469,0.010762,22268119.789,0.026047,0.008922,0.314409,0.029778,0.00369,0.005898
1T-14,648341.07,7287254.571,12429874.668,-0.043321,0.023017,21547782.441,-0.032348,0.024826,-0.193073,0.045798,-0.016323,0.025952
2T-14,768627.492,7569038.085,12772327.006,0.027551,0.015133,22320155.991,0.035845,0.019487,0.18553,0.021944,0.038668,0.027463
3T-14,643268.097,7593723.666,12891190.056,0.009306,0.023408,22258188.342,-0.002776,0.02559,-0.163095,0.052334,0.003261,0.028829
4T-14,814512.94,7659160.7,13353810.132,0.035887,0.027791,22939645.045,0.030616,0.030156,0.266211,0.013746,0.008617,0.033879
1T-15,682708.429,7436775.41,12828790.068,-0.039316,0.032093,22169554.364,-0.03357,0.028855,-0.16182,0.053008,-0.029035,0.020518
2T-15,762292.168,7620335.485,13192282.882,0.028334,0.03288,22843017.522,0.030378,0.023426,0.116571,-0.008242,0.024683,0.006777
3T-15,633891.785,7851923.139,13321234.659,0.009775,0.03336,23011745.8,0.007386,0.033855,-0.16844,-0.014576,0.030391,0.034002
4T-15,849122.881,7748226.577,13661991.741,0.02558,0.023078,23448299.342,0.018971,0.022174,0.339539,0.042492,-0.013207,0.011629
1T-16,675450.518,7519199.238,13089582.885,-0.041898,0.020329,22537031.335,-0.038863,0.016576,-0.204531,-0.010631,-0.029559,0.011083
2T-16,783292.895,7741594.476,13535631.125,0.034077,0.026026,23359955.77,0.036514,0.02263,0.15966,0.027549,0.029577,0.015913
3T-16,675022.005,7736587.845,13571616.482,0.002659,0.018796,23214541.358,-0.006225,0.008813,-0.138225,0.064885,-0.000647,-0.014689
4T-16,879613.121,7747450.987,14146147.656,0.042333,0.035438,23982434.514,0.033078,0.022779,0.303088,0.035908,0.001404,-0.0001
1T-17,713904.756,7696752.221,13595771.827,-0.038906,0.038671,23306068.739,-0.028203,0.034123,-0.188388,0.056931,-0.006544,0.023613
2T-17,804164.686,7735461.008,13834995.631,0.017595,0.022117,23710325.711,0.017346,0.014999,0.126431,0.026646,0.005029,-0.000792
3T-17,677009.543,7762752.647,13806778.422,-0.00204,0.017327,23491266.413,-0.009239,0.01192,-0.158121,0.002944,0.003528,0.003382
4T-17,916770.535,7742366.961,14459683.456,0.047289,0.022164,24328768.39,0.035652,0.014441,0.354147,0.042243,-0.002626,-0.000656
1T-18,746237.51,7595975.489,13899895.284,-0.038714,0.022369,23568391.999,-0.031254,0.011256,-0.186015,0.04529,-0.018908,-0.013093
2T-18,836129.224,7846628.792,14350827.278,0.032441,0.037285,24395736.063,0.035104,0.028908,0.12046,0.039749,0.032998,0.014371
