periodo,INPP con petróleo (índice),INPP con petróleo var. mensual (%),INPP con petróleo var. anual (%),INPP con petróleo var. acumulada (%),INPP sin petróleo (índice),INPP sin petróleo var. mensual (%),INPP sin petróleo var. anual (%),INPP sin petróleo var. acumulada (%),Bienes intermedios var. anual (%),Actividades primarias var. anual (%),Agricultura var. anual (%),Minería con petróleo var. anual (%),Construcción var. anual (%),Manufacturas var. anual (%),Transportes var. anual (%)
Ago 20,104.185499,0.450467,5.0605,4.156797,104.854012,0.356208,5.436756,4.697963,4.899687,12.594026,12.594026,7.743588,1.922084,6.387436,2.679964
Sep 20,103.726177,-0.440869,3.803689,3.697602,104.483433,-0.353424,4.524623,4.327936,3.66353,6.73488,6.73488,-2.571286,2.329619,5.28458,2.711531
Oct 20,103.801354,0.072477,4.396874,3.772758,104.544548,0.058493,4.863336,4.38896,4.201277,8.373542,8.373542,2.799608,3.499603,5.553601,3.58952
Nov 20,103.4893,-0.300626,3.92658,3.46079,104.286064,-0.247248,4.419427,4.130861,4.135649,6.468228,6.468228,1.513604,4.506862,5.124861,1.722921
Dic 20,103.703635,0.207108,3.675066,3.675066,104.29333,0.006968,4.138117,4.138117,4.377702,7.443921,7.443921,2.00534,5.069273,4.850443,-0.484867
Ene 21,104.850401,1.10581,5.293892,1.10581,105.11789,0.790615,5.253246,0.790615,5.901592,11.32793,11.32793,14.793624,8.047786,6.244669,0.946271
Feb 21,106.213438,1.299983,6.740189,2.420168,106.227089,1.055196,5.88038,1.854154,7.042868,7.301884,7.301884,41.152513,9.217998,7.726366,1.257197
Mar 21,107.772605,1.467956,6.232879,3.923652,107.615672,1.307183,4.827699,3.185574,6.700556,4.507829,4.507829,56.094148,9.989608,5.605263,2.441881
Abr 21,108.095269,0.299394,5.023914,4.234792,107.975562,0.334422,3.159115,3.530649,5.827791,6.778837,6.778837,66.838938,9.708547,2.450338,2.751836
May 21,108.973908,0.812838,6.101407,5.082052,108.758794,0.725379,4.434144,4.281639,7.777726,10.323869,10.323869,57.771983,11.752563,3.992394,3.441191
Jun 21,109.865238,0.817929,7.103162,5.941549,109.533675,0.712477,5.834932,5.024621,8.538921,10.446294,10.446294,43.434594,13.79183,5.879323,5.524109
Jul 21,110.391727,0.479214,6.434204,6.449235,110.016963,0.441223,5.29769,5.488014,7.7032,9.966492,9.966492,34.245148,14.99507,4.721708,5.678209
Ago 21,110.745796,0.320738,6.296747,6.790659,110.401997,0.349976,5.291152,5.857197,7.348448,10.993611,10.993611,25.695536,15.819098,4.956424,3.923753
Sep 21,111.153315,0.367977,7.160332,7.183625,110.77104,0.334272,6.017803,6.211049,8.288655,11.951566,11.951566,31.506418,15.652241,6.273734,3.683743
Oct 21,112.513145,1.223382,8.392752,8.49489,111.929447,1.045767,7.063878,7.321769,10.114629,10.584899,10.584899,41.378423,15.241368,8.040603,4.039285
Nov 21,113.702165,1.056783,9.868522,9.641445,112.996538,0.953361,8.352482,8.344932,11.394147,13.369602,13.369602,49.942199,15.118682,9.714825,5.934534
Dic 21,114.406079,0.619087,10.320221,10.320221,113.996786,0.885202,9.304004,9.304004,11.600655,14.552125,14.552125,36.632192,15.317275,10.972064,8.553
Ene 22,115.147596,0.648145,9.820845,0.648145,114.319492,0.283083,8.753602,0.283083,10.90528,14.797723,14.797723,34.24375,15.087855,10.276823,5.116962
Feb 22,116.720737,1.366195,9.892627,2.023195,115.466391,1.003241,8.697689,1.289164,10.828088,15.122891,15.122891,34.542971,13.966054,9.990826,5.571792
Mar 22,118.732904,1.723915,10.169838,3.781989,116.859841,1.206801,8.589985,2.511523,10.499796,15.11048,15.11048,40.205942,14.103469,9.554353,7.192878
Abr 22,119.441889,0.597125,10.49687,4.401697,117.654293,0.679833,8.963816,3.20843,10.52524,14.381241,14.381241,40.320497,16.34187,9.621882,8.197074
May 22,120.383491,0.788335,10.470014,5.224733,118.488797,0.709284,8.946405,3.940472,10.596258,14.084545,14.084545,37.602479,16.701801,9.900806,6.847569
Jun 22,121.232095,0.704917,10.346182,5.96648,119.315342,0.697573,8.930282,4.665532,11.027122,14.894016,14.894016,35.83669,15.353481,9.99127,6.169182
Jul 22,121.442253,0.173352,10.010285,6.150175,119.989652,0.56515,9.064683,5.257049,10.365955,15.33359,15.33359,24.139304,14.299949,10.410004,6.991615
Ago 22,121.117132,-0.267716,9.364994,5.865993,120.118907,0.107721,8.80139,5.370433,10.155355,13.588617,13.588617,18.747935,13.594863,9.845315,7.495097
Sep 22,120.79753,-0.263879,8.676498,5.586636,120.047471,-0.059471,8.374419,5.307769,9.383533,13.678233,13.678233,11.918536,12.25718,9.040283,8.598774
Oct 22,120.465626,-0.274761,7.068046,5.296525,119.872172,-0.146025,7.096188,5.153993,6.721921,14.285961,14.285961,-0.140861,11.138907,7.336463,7.559266
Nov 22,120.175601,-0.240753,5.693327,5.04302,119.669616,-0.168976,5.90556,4.976307,5.206296,11.55035,11.55035,-5.279794,9.484025,5.692832,7.524824
Dic 22,120.181167,0.004631,5.047885,5.047885,120.061751,0.327681,5.320295,5.320295,4.721652,10.775311,10.775311,-4.127514,8.559106,4.682638,5.984818
Ene 23,120.68297,0.417539,4.807199,0.417539,120.773963,0.593205,5.645993,0.593205,4.917254,10.642104,10.642104,-12.728607,8.207776,4.908214,8.237155
Feb 23,120.635992,-0.038927,3.354378,0.37845,120.819126,0.037395,4.635751,0.630821,3.092554,10.528065,10.528065,-22.257717,8.226966,3.140444,7.945213
Mar 23,120.885751,0.207035,1.813185,0.586269,121.262396,0.366887,3.76738,1.000023,1.884153,8.979374,8.979374,-31.784467,7.63072,1.861088,6.77068
Abr 23,120.973862,0.072888,1.28261,0.659584,121.246624,-0.013006,3.053294,0.986887,1.40971,7.268848,7.268848,-29.467354,4.27693,1.684111,4.324482
May 23,120.559238,-0.342738,0.145989,0.314585,120.961547,-0.235122,2.086906,0.749444,-0.061907,5.945863,5.945863,-33.212698,2.886818,0.128099,4.643363
Jun 23,120.212886,-0.287288,-0.840709,0.026393,120.660242,-0.249092,1.127181,0.498486,-1.536884,4.334033,4.334033,-35.182525,2.180586,-1.308224,4.655038
Jul 23,120.601434,0.323216,-0.692361,0.349695,120.840633,0.149503,0.709212,0.648734,-1.380132,7.195139,7.195139,-26.625626,1.210787,-2.598526,5.248184
Ago 23,121.130502,0.438691,0.011039,0.78992,121.196044,0.294116,0.896726,0.944758,-1.080951,8.226868,8.226868,-20.470831,0.718764,-2.123426,6.015119
